,,,,,,,,Shooting %,Shooting %,Shooting %,Shooting %,Shooting %,Shooting %,Shooting %,Shooting %,League-Adjusted,League-Adjusted,League-Adjusted,League-Adjusted,League-Adjusted,League-Adjusted,League-Adjusted,League-Adjusted,Added,Added,,-additional
Rk,Player,Age,Team,Pos,G,GS,MP,FG%,2P%,3P%,eFG%,FT%,TS%,FTr,3PAr,FG+,2P+,3P+,eFG+,FT+,TS+,FTr+,3PAr+,FG Add,TS Add,Awards,-9999
525,Curtis Jones,24,DEN,SG,6,0,31,.286,.600,.111,.321,,.321,.000,.643,61,110,31,59,,55,0,155,-6.2,-7.2,,jonescu01
526,Hunter Sallis,22,PHI,SG,7,0,26,.600,.600,,.600,.500,.595,.400,.000,128,110,,110,64,103,151,0,0.6,0.2,,sallihu01
527,Mark Sears,23,MIL,PG,7,0,26,.462,.400,.500,.615,.750,.666,.615,.615,98,73,140,113,96,115,232,148,1.9,2.9,,searsma01
528,Chris Mañon,24,LAL,SG,6,0,25,.000,,.000,.000,1.000,.347,1.000,1.000,0,,0,0,128,60,377,241,-2.2,-1.3,,manonch01
529,Orlando Robinson,25,ORL,C,4,1,25,.600,.667,.500,.700,,.700,.000,.400,128,122,140,129,,121,0,96,1.6,1.2,,robinor01
530,Dalano Banton,26,2TM,PG,5,0,25,.444,.444,,.444,1.000,.506,.222,.000,95,81,,82,128,87,84,0,-1.7,-1.4,,bantoda01
530,Dalano Banton,26,LAC,PG,2,0,10,.750,.750,,.750,,.750,.000,.000,160,137,,138,,129,0,0,1.7,1.4,,bantoda01
530,Dalano Banton,26,BOS,PG,3,0,15,.200,.200,,.200,1.000,.340,.400,.000,43,37,,37,128,59,151,0,-3.4,-2.8,,bantoda01
531,Dillon Jones,24,NYK,SF,5,0,24,.200,.000,.333,.300,1.000,.518,.800,.600,43,0,93,55,128,89,302,144,-2.4,-0.8,,jonesdi01
532,Isaac Jones,25,2TM,PF,5,1,24,.600,1.000,.000,.600,.500,.595,.400,.400,128,183,0,110,64,103,151,96,0.5,0.2,,jonesis01
532,Isaac Jones,25,SAC,PF,3,1,17,.500,1.000,.000,.500,.500,.521,1.000,.500,107,183,0,92,64,90,377,120,-0.2,-0.3,,jonesis01
532,Isaac Jones,25,DET,PF,2,0,7,.667,1.000,.000,.667,,.667,.000,.333,142,183,0,123,,115,0,80,0.7,0.5,,jonesis01
533,Koby Brea,23,PHO,SG,5,0,23,.556,.500,.571,.778,1.000,.810,.222,.778,118,91,160,143,128,140,84,187,4.2,4.5,,breako01
534,Max Strus,29,CLE,SF,1,0,23,.778,.500,.857,1.111,1.000,1.115,.444,.778,166,91,239,205,128,192,168,187,10.2,11.5,,strusma01
535,Brandon Clarke,29,MEM,PF,2,2,20,.333,.333,,.333,.500,.372,.444,.000,71,61,,61,64,64,168,0,-3.8,-4.5,,clarkbr01
536,Taj Gibson,40,MEM,C,2,0,20,.286,.200,.500,.357,,.357,.000,.286,61,37,140,66,,62,0,69,-2.6,-3.1,,gibsota01
537,Riley Minix,25,2TM,SF,5,0,19,.667,1.000,.250,.722,,.722,.000,.444,142,183,70,133,,125,0,107,3.2,2.5,,minixri01
537,Riley Minix,25,SAS,SF,3,0,8,.667,1.000,.333,.750,,.750,.000,.500,142,183,93,138,,129,0,120,2.5,2.0,,minixri01
537,Riley Minix,25,CLE,SF,2,0,11,.667,1.000,.000,.667,,.667,.000,.333,142,183,0,123,,115,0,80,0.7,0.5,,minixri01
538,Harrison Ingram,23,SAS,SF,5,0,17,.800,.750,1.000,.900,,.900,.000,.200,171,137,279,166,,155,0,48,3.6,3.2,,ingraha01
539,Jacob Toppin,25,ATL,SF,5,0,17,.667,.667,,.667,,.667,.000,.000,142,122,,123,,115,0,0,1.5,1.0,,toppija01
540,Chris Livingston,22,CLE,SF,3,0,17,.571,1.000,.000,.571,1.000,.605,.143,.429,122,183,0,105,128,104,54,103,0.4,0.4,,livinch01
541,Rocco Zikarsky,19,MIN,C,4,0,16,.600,.600,,.600,,.600,.000,.000,128,110,,110,,104,0,0,0.6,0.2,,zikarro01
542,Buddy Boeheim,26,OKC,SF,4,0,15,.333,,.333,.500,,.500,.000,1.000,71,,93,92,,86,0,241,-0.5,-1.0,,boehebu01
543,N'Faly Dante,24,ATL,C,4,0,15,.250,.250,,.250,1.000,.338,.250,.000,53,46,,46,128,58,94,0,-2.3,-2.1,,nfalyda01
544,Omer Yurtseven,27,GSW,C,2,0,15,.000,.000,.000,.000,1.000,.258,.667,.333,0,0,0,0,128,44,252,80,-3.3,-2.5,,yurtsom01
545,Norchad Omier,24,LAC,PF,3,0,14,.800,1.000,.000,.800,,.800,.000,.200,171,183,0,147,,138,0,48,2.6,2.2,,omierno01
546,Chucky Hepburn,22,TOR,PG,2,0,13,.000,.000,.000,.000,,.000,.000,.833,0,0,0,0,,0,0,201,-6.5,-7.0,,hepbuch01
547,Vladislav Goldin,24,MIA,C,4,0,12,.667,.667,,.667,,.667,.000,.000,142,122,,123,,115,0,0,0.7,0.5,,goldivl01
548,David Roddy,24,DEN,PF,2,0,12,.000,,.000,.000,1.000,.258,.667,1.000,0,,0,0,128,44,252,241,-3.3,-2.5,,roddyda01
549,John Tonje,24,BOS,SG,3,0,11,.000,,.000,.000,1.000,.347,1.000,1.000,0,,0,0,128,60,377,241,-2.2,-1.3,,tonjejo01
550,Tyler Smith,21,DAL,PF,2,0,11,.167,1.000,.000,.167,.500,.218,.333,.833,36,183,0,31,64,38,126,201,-4.5,-5.0,,smithty02
551,Tosan Evbuomwan,24,NYK,SF,5,0,8,.000,.000,,.000,,.000,.000,.000,0,0,,0,,0,0,0,-1.1,-1.2,,evbuoto01
552,Enrique Freeman,25,MIN,PF,2,0,8,,,,,,,,,,,,,,,,,0.0,0.0,,freemen01
553,Stanley Umude,26,SAS,SG,2,0,7,.500,1.000,.000,.500,,.500,.000,.500,107,183,0,92,,86,0,120,-0.2,-0.3,,umudest01
554,Colby Jones,23,DET,SG,1,0,7,.333,1.000,.000,.333,,.333,.000,.667,71,183,0,61,,58,0,161,-1.3,-1.5,,jonesco02
555,Max Shulga,23,BOS,SG,4,0,6,.000,.000,,.000,,.000,.000,.000,0,0,,0,,0,0,0,-1.1,-1.2,,shulgma01
556,Noa Essengue,19,CHI,PF,2,0,6,.000,.000,.000,.000,,.000,.000,.667,0,0,0,0,,0,0,161,-3.3,-3.5,,essenno01
557,Trentyn Flowers,20,CHI,SF,2,0,6,.667,1.000,.000,.667,,.667,.000,.333,142,183,0,123,,115,0,80,0.7,0.5,,flowetr01
558,Sean Pedulla,23,LAC,PG,1,0,6,.500,,.500,.750,,.750,.000,1.000,107,,140,138,,129,0,241,1.7,1.4,,pedulse01
559,Trevor Keels,22,MIA,SG,4,0,5,.000,.000,.000,.000,,.000,.000,.750,0,0,0,0,,0,0,181,-4.3,-4.6,,keelstr01
560,Hunter Dickinson,25,NOP,C,1,0,5,.500,.500,,.500,,.500,.000,.000,107,91,,92,,86,0,0,-0.2,-0.3,,dickihu01
561,Darius Brown II,26,CLE,SG,1,0,3,.000,.000,,.000,,.000,.000,.000,0,0,,0,,0,0,0,-1.1,-1.2,,brownda04
562,Jayson Kent,23,POR,SF,1,0,3,1.000,1.000,,1.000,,1.000,.000,.000,213,183,,184,,173,0,0,0.9,0.8,,kentja01
,League Average,,,,,,,.469,.548,.358,.543,.783,.579,.265,.415,,,,,,,,,,,,-9999
