,,,,,,,,,,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,% of FG Ast'd,% of FG Ast'd,Dunks,Dunks,Corner 3s,Corner 3s,1/2 Court,1/2 Court,,-additional
Rk,Player,Age,Team,Pos,G,GS,MP,FG%,Dist.,2P,0-3,3-10,10-16,16-3P,3P,2P,0-3,3-10,10-16,16-3P,3P,2P,3P,%FGA,#,%3PA,3P%,Att.,Md.,Awards,-9999
559,Keshad Johnson,24,MIA,SF,24,0,183,.420,12.1,.580,.391,.159,.014,.014,.420,.500,.630,.091,1.000,1.000,.310,.650,.889,.188,11,.379,.364,0,0,,johnske10
560,Blake Hinson,26,UTA,SF,9,1,182,.483,20.5,.250,.083,.100,.050,.017,.750,.533,.600,.667,.333,.000,.467,.750,1.000,.033,1,.422,.579,0,0,,hinsobl01
561,Obi Toppin,27,IND,PF,11,3,180,.400,17.6,.413,.160,.133,.093,.027,.587,.613,.667,.700,.571,.000,.250,.579,1.000,.093,5,.250,.273,0,0,,toppiob01
562,RayJ Dennis,24,3TM,PG,16,0,180,.301,21.1,.466,.123,.192,.123,.027,.534,.294,.333,.286,.333,.000,.308,.600,.750,.000,0,.154,.000,0,0,,dennira01
563,RayJ Dennis,24,IND,PG,13,0,168,.306,17.5,.472,.125,.194,.125,.028,.528,.294,.333,.286,.333,.000,.316,.600,.750,.000,0,.158,.000,0,0,,dennira01
564,RayJ Dennis,24,LAC,PG,1,0,4,,,,,,,,,,,,,,,,,,0,,,0,0,,dennira01
565,RayJ Dennis,24,ATL,PG,2,0,8,.000,24.7,.000,.000,.000,.000,.000,1.000,,,,,,.000,,,.000,0,.000,,0,0,,dennira01
566,Drew Timme,25,LAL,PF,21,0,179,.588,13.3,.627,.235,.216,.157,.020,.373,.688,.833,.545,.750,.000,.421,.591,1.000,.000,0,.316,.500,0,0,,timmedr01
567,Oscar Tshiebwe,26,UTA,C,13,1,175,.622,3.7,1.000,.533,.444,.022,.000,.000,.622,.750,.450,1.000,,,.607,,.111,4,,,0,0,,tshieos01
568,Chris Youngblood,23,OKC,SG,32,0,174,.333,23.0,.150,.033,.067,.033,.017,.850,.444,1.000,.250,.500,.000,.314,.750,1.000,.000,0,.255,.308,0,0,,youngch01
569,Jonathan Mogbo,24,TOR,PF,28,0,163,.533,3.2,1.000,.500,.433,.067,.000,.000,.533,.533,.538,.500,,,.688,,.200,3,,,0,0,,mogbojo01
570,DeAndre Jordan,37,NOP,C,10,6,163,.696,1.9,1.000,.783,.174,.043,.000,.000,.696,.833,.250,.000,,,.563,,.304,7,,,0,0,,jordade01
571,Hunter Tyson,25,DEN,PF,21,2,162,.269,18.1,.365,.135,.173,.019,.038,.635,.368,.714,.111,.000,.500,.212,.714,.857,.038,2,.212,.000,0,0,,tysonhu01
572,Leaky Black,26,WAS,SF,5,2,159,.462,17.5,.487,.128,.077,.231,.051,.513,.526,.400,.667,.444,1.000,.400,.500,.875,.051,1,.450,.556,0,0,,blackle01
573,Lachlan Olbrich,22,CHI,C,25,0,156,.433,9.8,.733,.367,.333,.000,.033,.267,.500,.455,.500,,1.000,.250,.818,1.000,.000,0,.250,.000,0,0,,olbrila01
574,Walker Kessler,24,UTA,C,5,5,154,.703,7.5,.784,.459,.324,.000,.000,.216,.690,.647,.750,,,.750,.600,1.000,.270,9,.250,1.000,0,0,,kesslwa01
575,Julian Reese,22,WAS,PF,5,4,148,.593,3.6,1.000,.593,.333,.074,.000,.000,.593,.813,.333,.000,,,.625,,.148,4,,,0,0,,reeseju01
576,Jayson Tatum,27,BOS,PF,5,5,146,.409,16.6,.484,.204,.151,.075,.054,.516,.556,.737,.429,.429,.400,.271,.360,.769,.032,2,.083,.500,0,0,,tatumja01
577,Xavier Tillman Sr.,27,2TM,C,22,1,143,.421,11.7,.553,.263,.263,.026,.000,.447,.619,.700,.500,1.000,,.176,.692,1.000,.026,0,.294,.000,0,0,,tillmxa01
578,Xavier Tillman Sr.,27,BOS,C,14,1,111,.452,14.3,.516,.194,.290,.032,.000,.484,.688,.833,.556,1.000,,.200,.727,1.000,.000,0,.333,.000,0,0,,tillmxa01
579,Xavier Tillman Sr.,27,CHO,C,8,0,32,.286,9.1,.714,.571,.143,.000,.000,.286,.400,.500,.000,,,.000,.500,,.143,0,.000,,0,0,,tillmxa01
580,Mason Plumlee,35,2TM,C,17,2,139,.750,1.4,1.000,.833,.167,.000,.000,.000,.750,.900,.000,,,,.889,,.333,4,,,0,0,,plumlma01
581,Mason Plumlee,35,CHO,C,14,2,125,.750,1.4,1.000,.833,.167,.000,.000,.000,.750,.900,.000,,,,.889,,.333,4,,,0,0,,plumlma01
582,Mason Plumlee,35,SAS,C,3,0,14,,,,,,,,,,,,,,,,,,0,,,0,0,,plumlma01
583,Malevy Leons,26,GSW,SF,15,1,136,.421,10.4,.684,.421,.211,.026,.026,.316,.538,.688,.250,1.000,.000,.167,.571,1.000,.079,3,.667,.125,0,0,,leonsma01
584,Jeff Green,39,HOU,PF,25,0,134,.415,19.7,.321,.132,.113,.057,.019,.679,.588,.571,.833,.333,.000,.333,.600,.917,.019,1,.306,.364,0,0,,greenje02
585,Miles Kelly,23,DAL,PG,14,0,134,.364,20.1,.250,.091,.068,.023,.068,.750,.545,.750,.333,.000,.667,.303,.833,.900,.000,0,.606,.450,0,0,,kellymi02
586,Kevin McCullar Jr.,24,NYK,SF,19,0,127,.382,14.8,.500,.324,.118,.000,.059,.500,.412,.545,.250,,.000,.353,.857,.833,.000,0,.353,.333,0,0,,mcculke01
587,Bradley Beal,32,LAC,SG,6,6,121,.375,16.1,.604,.125,.146,.208,.125,.396,.379,.500,.571,.200,.333,.368,.727,1.000,.000,0,.211,.250,0,0,,bealbr01
588,Amari Williams,24,BOS,PF,19,2,120,.471,3.5,1.000,.471,.471,.059,.000,.000,.471,.875,.125,.000,,,.875,,.235,4,,,0,0,,william01
589,Tyson Etienne,26,BRK,PG,13,0,120,.333,24.4,.067,.022,.022,.000,.022,.933,.000,.000,.000,,.000,.357,,.867,.000,0,.310,.231,0,0,,etienty01
590,E.J. Liddell,25,BRK,PF,15,0,116,.486,16.8,.429,.143,.229,.057,.000,.571,.733,1.000,.625,.500,,.300,.182,1.000,.057,2,.450,.444,0,0,,liddeej01
591,LJ Cryer,24,GSW,PG,9,0,116,.442,23.4,.163,.000,.047,.047,.070,.837,.571,,1.000,.500,.333,.417,.750,.867,.000,0,.222,.125,0,0,,cryerlj01
592,Dereck Lively II,21,DAL,C,7,4,115,.611,2.0,1.000,.778,.222,.000,.000,.000,.611,.643,.500,,,,.727,,.444,8,,,0,0,,livelde01
593,Yuki Kawamura,24,CHI,PG,10,0,114,.318,21.1,.273,.136,.000,.136,.000,.727,.333,.333,,.333,,.313,.500,1.000,.000,0,.125,.500,0,0,,kawamyu01
594,A.J. Lawson,25,TOR,SG,14,0,110,.390,14.4,.463,.268,.195,.000,.000,.537,.421,.545,.250,,,.364,.875,1.000,.049,1,.591,.385,0,0,,lawsoaj01
595,Bismack Biyombo,33,SAS,C,19,1,108,.667,2.7,1.000,.667,.333,.000,.000,.000,.667,.833,.333,,,,.833,,.556,5,,,0,0,,biyombi01
596,Adou Thiero,21,LAL,SF,19,0,104,.476,4.0,.952,.571,.381,.000,.000,.048,.500,.583,.375,,,.000,.800,,.286,5,.000,,0,0,,thierad01
597,Luke Travers,24,CLE,SG,12,0,103,.250,12.7,.556,.361,.167,.000,.028,.444,.400,.462,.333,,.000,.063,.625,1.000,.056,2,.250,.250,0,0,,travelu01
598,Alijah Martin,24,TOR,SG,16,0,102,.353,13.9,.588,.235,.206,.147,.000,.412,.450,.625,.571,.000,,.214,.556,1.000,.029,1,.286,.000,0,0,,martial01
599,Nate Williams,26,GSW,SG,8,0,101,.447,10.4,.658,.342,.289,.026,.000,.342,.480,.769,.182,.000,,.385,.583,.800,.079,2,.846,.364,0,0,,willije02
600,Alondes Williams,26,WAS,SG,4,0,101,.615,15.6,.462,.385,.038,.000,.038,.538,.917,1.000,1.000,,.000,.357,.727,1.000,.192,5,.286,.250,0,0,,willial06
601,MarJon Beauchamp,25,PHI,SF,6,0,99,.471,16.9,.441,.235,.118,.059,.029,.559,.600,.750,.750,.000,.000,.368,.778,.714,.029,1,.211,.000,0,0,,beaucma01
602,Chaney Johnson,23,BRK,SF,5,0,97,.500,13.0,.591,.364,.136,.091,.000,.409,.538,.625,.333,.500,,.444,.714,1.000,.091,2,.222,.500,0,0,,johnsch06
603,Andersson Garcia,25,UTA,SF,3,1,97,.278,13.9,.500,.333,.167,.000,.000,.500,.444,.167,1.000,,,.111,.500,1.000,.111,1,.111,.000,0,0,,garcian01
604,Javonte Cooke,26,POR,SG,19,0,94,.220,16.6,.439,.171,.244,.024,.000,.561,.333,.286,.400,.000,,.130,.500,.667,.024,1,.217,.000,0,0,,cookeja01
605,Chris Boucher,33,BOS,PF,9,0,94,.320,16.8,.400,.240,.120,.000,.040,.600,.600,.833,.333,,.000,.133,.667,1.000,.040,1,.200,.000,0,0,,bouchch01
606,Joe Ingles,38,MIN,SF,23,0,91,.444,18.0,.333,.222,.111,.000,.000,.667,.667,.500,1.000,,,.333,.500,1.000,.000,0,.167,1.000,0,0,,inglejo01
607,Kobe Bufkin,22,LAL,SG,11,1,90,.289,17.6,.474,.132,.237,.000,.105,.526,.444,1.000,.333,,.000,.150,.375,.667,.000,0,.250,.200,0,0,,bufkiko01
608,Johnny Juzang,24,MIN,SG,21,0,88,.421,19.1,.368,.105,.079,.132,.053,.632,.714,1.000,.333,.600,1.000,.250,.200,.667,.000,0,.375,.222,0,0,,juzanjo01
609,Tolu Smith,25,DET,PF,7,0,88,.476,2.7,1.000,.571,.429,.000,.000,.000,.476,.667,.222,,,,.700,,.143,3,,,0,0,,smithto05
610,Thanasis Antetokounmpo,33,MIL,SF,27,0,86,.526,4.9,.895,.526,.368,.000,.000,.105,.588,.700,.429,,,.000,.600,,.316,6,1.000,.000,0,0,,antetth01
611,Pacôme Dadiet,20,NYK,SG,23,0,86,.348,20.7,.348,.087,.087,.087,.087,.652,.375,1.000,.500,.000,.000,.333,1.000,1.000,.043,1,.200,.667,0,0,,dadiepa01
612,Kyle Lowry,39,PHI,PG,10,0,81,.231,26.5,.000,.000,.000,.000,.000,1.000,,,,,,.231,,1.000,.000,0,.077,1.000,0,0,,lowryky01
613,Tyler Burton,25,MEM,SF,3,0,78,.167,18.1,.375,.167,.083,.125,.000,.625,.111,.000,.500,.000,,.200,1.000,1.000,.000,0,.267,.500,0,0,,burtoty01
614,Eric Gordon,37,PHI,SG,6,0,74,.571,18.9,.333,.238,.095,.000,.000,.667,.571,.800,.000,,,.571,.750,1.000,.000,0,.143,1.000,0,0,,gordoer01
615,Haywood Highsmith,29,PHO,SF,5,0,71,.500,18.2,.389,.111,.222,.056,.000,.611,.286,.500,.000,1.000,,.636,1.000,1.000,.000,0,.000,,0,0,,highsha01
616,Bobi Klintman,22,DET,SF,11,0,69,.308,15.6,.500,.115,.346,.000,.038,.500,.308,.333,.333,,.000,.308,.750,1.000,.038,1,.308,.000,0,0,,klintbo01
617,Jalen Slawson,26,IND,SF,3,1,69,.267,18.6,.333,.133,.133,.067,.000,.667,.400,1.000,.000,.000,,.200,.000,1.000,.000,0,.400,.250,0,0,,slawsja01
618,David Jones García,24,SAS,SF,11,0,68,.520,7.7,.800,.520,.280,.000,.000,.200,.500,.385,.714,,,.600,.100,.667,.040,1,.000,,0,0,,jonesda06
619,Isaiah Crawford,24,HOU,SF,11,0,67,.385,16.3,.385,.308,.000,.077,.000,.615,.600,.500,,1.000,,.250,.667,1.000,.077,1,.750,.333,0,0,,crawfis01
620,Kadary Richmond,24,WAS,SG,3,0,67,.625,9.1,.750,.438,.250,.063,.000,.250,.667,.857,.250,1.000,,.500,.500,1.000,.125,2,.250,.000,0,0,,richmka01
621,Antonio Reeves,25,CHO,SG,9,0,66,.500,18.3,.350,.150,.100,.100,.000,.650,.429,.667,.000,.500,,.538,.667,1.000,.050,1,.462,.667,0,0,,reevean01
622,Bez Mbeng,22,UTA,SG,2,0,66,.300,12.6,.600,.100,.400,.100,.000,.400,.500,1.000,.500,.000,,.000,.667,,.000,0,.500,.000,0,0,,mbengbe01
623,Monte Morris,30,IND,PG,6,0,65,.350,13.8,.600,.250,.200,.100,.050,.400,.417,.600,.250,.500,.000,.250,.600,1.000,.000,0,.375,.000,0,0,,morrimo01
624,Drew Peterson,26,CHO,PF,6,0,64,.125,20.2,.250,.188,.063,.000,.000,.750,.500,.667,.000,,,.000,.500,,.000,0,.417,.000,0,0,,peterdr01
625,Trey Jemison,26,NYK,C,11,0,61,.571,5.0,1.000,.143,.714,.143,.000,.000,.571,1.000,.600,.000,,,1.000,,.143,1,,,0,0,,jemistr01
626,James Wiseman,24,IND,C,4,1,58,.600,4.6,1.000,.500,.400,.000,.100,.000,.600,.800,.500,,.000,,.667,,.400,4,,,0,0,,wisemja01
627,Patrick Baldwin Jr.,23,3TM,SF,7,0,58,.375,18.1,.438,.188,.250,.000,.000,.563,.429,.333,.500,,,.333,.333,1.000,.063,1,.222,.000,0,0,,baldwpa01
628,Patrick Baldwin Jr.,23,LAC,SF,2,0,12,.750,21.6,.250,.000,.250,.000,.000,.750,1.000,,1.000,,,.667,.000,1.000,.000,0,.000,,0,0,,baldwpa01
629,Patrick Baldwin Jr.,23,PHI,SF,1,0,2,,,,,,,,,,,,,,,,,,0,,,0,0,,baldwpa01
630,Patrick Baldwin Jr.,23,SAC,SF,4,0,44,.250,14.6,.500,.250,.250,.000,.000,.500,.333,.333,.333,,,.167,.500,1.000,.083,1,.333,.000,0,0,,baldwpa01
631,Caleb Houstan,23,ATL,SF,13,0,57,.467,20.9,.200,.067,.133,.000,.000,.800,.333,1.000,.000,,,.500,1.000,1.000,.000,0,.250,.667,0,0,,houstca01
632,Johni Broome,23,PHI,C,11,0,55,.167,9.0,.792,.333,.333,.125,.000,.208,.211,.375,.125,.000,,.000,.250,,.042,0,.200,.000,0,0,,broomjo01
633,Cody Martin,30,IND,SF,4,0,55,.200,15.5,.500,.100,.300,.100,.000,.500,.400,1.000,.333,.000,,.000,.500,,.100,1,.400,.000,0,0,,martico01
634,Wendell Moore Jr.,24,DET,SG,5,0,54,.571,5.8,.857,.286,.571,.000,.000,.143,.667,1.000,.500,,,.000,.500,,.143,1,1.000,.000,0,0,,moorewe01
635,Nikola Topić,20,OKC,PG,5,0,53,.438,12.1,.688,.125,.438,.125,.000,.313,.455,1.000,.286,.500,,.400,.400,1.000,.000,0,.000,,0,0,,topicni01
636,TyTy Washington Jr.,24,LAC,PG,9,0,52,.571,16.2,.500,.143,.286,.071,.000,.500,.714,1.000,.750,.000,,.429,.400,.667,.071,1,.143,1.000,0,0,,washity02
637,Seth Curry,35,GSW,SG,4,0,51,.588,17.4,.588,.059,.176,.059,.294,.412,.600,1.000,.667,.000,.600,.571,.667,1.000,.000,0,.429,.667,0,0,,curryse01
638,Lawson Lovering,22,MEM,C,2,1,49,.600,2.6,1.000,.500,.500,.000,.000,.000,.600,1.000,.200,,,,.667,,.500,4,,,0,0,,loverla01
639,Keshon Gilbert,22,WAS,PG,3,0,48,.250,13.9,.500,.250,.250,.000,.000,.500,.500,1.000,.000,,,.000,.000,,.000,0,.000,,0,0,,gilbeke01
640,Jahmir Young,25,MIA,PG,10,0,47,.350,12.1,.650,.250,.250,.150,.000,.350,.385,.400,.600,.000,,.286,.600,1.000,.000,0,.286,.500,0,0,,youngja05
641,John Poulakidas,22,DAL,SG,3,0,47,.385,23.6,.231,.000,.000,.154,.077,.769,.667,,,.500,1.000,.300,1.000,1.000,.000,0,.000,,0,0,,poulajo01
642,DeJon Jarreau,28,MEM,SG,2,0,47,.400,11.3,.700,.300,.300,.100,.000,.300,.571,1.000,.333,.000,,.000,.000,,.000,0,.000,,0,0,,jarrede01
643,Mac McClung,27,2TM,SG,4,0,47,.360,13.8,.520,.280,.160,.080,.000,.480,.538,.714,.250,.500,,.167,.571,.500,.000,0,.083,.000,0,0,,mccluma01
644,Mac McClung,27,IND,SG,3,0,34,.389,17.3,.444,.222,.167,.056,.000,.556,.625,.750,.333,1.000,,.200,.800,.500,.000,0,.000,,0,0,,mccluma01
645,Mac McClung,27,CHI,SG,1,0,13,.286,10.4,.714,.429,.143,.143,.000,.286,.400,.667,.000,.000,,.000,.000,,.000,0,.500,.000,0,0,,mccluma01
646,Garrett Temple,39,TOR,SG,16,0,46,.125,20.4,.250,.000,.250,.000,.000,.750,.000,,.000,,,.167,,1.000,.000,0,.167,.000,0,0,,templga01
647,Mo Bamba,27,2TM,C,4,0,44,.455,2.8,1.000,.727,.091,.182,.000,.000,.455,.500,.000,.500,,,.800,,.273,3,,,0,0,,bambamo01
648,Mo Bamba,27,TOR,C,2,0,6,.000,2.0,1.000,1.000,.000,.000,.000,.000,.000,.000,,,,,,,.000,0,,,0,0,,bambamo01
649,Mo Bamba,27,UTA,C,2,0,38,.556,3.7,1.000,.667,.111,.222,.000,.000,.556,.667,.000,.500,,,.800,,.333,3,,,0,0,,bambamo01
650,Isaiah Stevens,25,SAC,PG,3,0,43,.429,8.5,.857,.429,.286,.143,.000,.143,.500,.667,.500,.000,,.000,.667,,.000,0,.000,,0,0,,steveis01
651,Trey Alexander,22,NOP,SG,5,0,42,.667,12.8,.667,.222,.222,.222,.000,.333,.667,.500,.500,1.000,,.667,.500,1.000,.000,0,1.000,.667,0,0,,alexatr01
652,Dario Šarić,31,SAC,C,5,0,41,.167,15.3,.500,.333,.000,.000,.167,.500,.000,.000,,,.000,.333,,1.000,.000,0,.667,.500,0,0,,saricda01
653,Malachi Smith,26,BRK,SG,2,0,41,.273,9.3,.818,.364,.273,.091,.091,.182,.333,.500,.333,.000,.000,.000,.000,,.000,0,.500,.000,0,0,,smithma02
654,Skal Labissière,29,WAS,PF,3,0,38,.600,16.5,.500,.200,.100,.100,.100,.500,1.000,1.000,1.000,1.000,1.000,.200,1.000,1.000,.100,1,.200,.000,0,0,,labissk01
655,Charles Bassey,25,2TM,C,3,0,36,.444,2.8,1.000,.444,.444,.111,.000,.000,.444,.750,.250,.000,,,.750,,.444,3,,,0,0,,bassech01
656,Charles Bassey,25,MEM,C,2,0,31,.375,4.4,1.000,.375,.500,.125,.000,.000,.375,.667,.250,.000,,,.667,,.375,2,,,0,0,,bassech01
657,Charles Bassey,25,PHI,C,1,0,5,1.000,1.2,1.000,1.000,.000,.000,.000,.000,1.000,1.000,,,,,1.000,,1.000,1,,,0,0,,bassech01
658,Grant Nelson,23,BRK,PF,4,0,35,.556,4.1,1.000,.556,.333,.111,.000,.000,.556,.800,.333,.000,,,1.000,,.333,3,,,0,0,,nelsogr02
659,Tristan Enaruna,24,CLE,SF,6,0,34,.375,10.2,.688,.250,.375,.063,.000,.313,.455,.750,.333,.000,,.200,.600,1.000,.063,1,.600,.000,0,0,,enarutr01
660,Emanuel Miller,25,CHI,PF,5,0,33,.462,15.2,.538,.231,.231,.000,.077,.462,.571,.333,.667,,1.000,.333,1.000,1.000,.000,0,.333,1.000,0,0,,milleem01
661,Jahmyl Telfort,24,LAC,PF,8,0,32,.000,24.1,.000,.000,.000,.000,.000,1.000,,,,,,.000,,,.000,0,.500,.000,0,0,,telfoja01
662,Curtis Jones,24,DEN,SG,6,0,31,.286,18.8,.357,.071,.286,.000,.000,.643,.600,1.000,.500,,,.111,.667,1.000,.000,0,.111,.000,0,0,,jonescu01
663,Hunter Sallis,22,PHI,SG,7,0,26,.600,5.4,1.000,.400,.400,.200,.000,.000,.600,.500,1.000,.000,,,.333,,.000,0,,,0,0,,sallihu01
664,Mark Sears,23,MIL,PG,7,0,26,.462,19.2,.385,.077,.154,.154,.000,.615,.400,1.000,.000,.500,,.500,.000,.750,.000,0,.000,,0,0,,searsma01
665,Chris Mañon,24,LAL,SG,6,0,25,.000,26.1,.000,.000,.000,.000,.000,1.000,,,,,,.000,,,.000,0,.000,,0,0,,manonch01
666,Orlando Robinson,25,ORL,C,4,1,25,.600,13.0,.600,.400,.200,.000,.000,.400,.667,1.000,.000,,,.500,1.000,1.000,.000,0,.000,,0,0,,robinor01
667,Dalano Banton,26,2TM,PG,5,0,25,.444,6.0,1.000,.333,.444,.222,.000,.000,.444,.667,.000,1.000,,,.250,,.000,0,,,0,0,,bantoda01
668,Dalano Banton,26,LAC,PG,2,0,10,.750,4.6,1.000,.750,.000,.250,.000,.000,.750,.667,,1.000,,,.333,,.000,0,,,0,0,,bantoda01
669,Dalano Banton,26,BOS,PG,3,0,15,.200,7.4,1.000,.000,.800,.200,.000,.000,.200,,.000,1.000,,,.000,,.000,0,,,0,0,,bantoda01
670,Dillon Jones,24,NYK,SF,5,0,24,.200,21.7,.400,.000,.000,.400,.000,.600,.000,,,.000,,.333,,1.000,.000,0,.333,1.000,0,0,,jonesdi01
671,Isaac Jones,25,2TM,PF,5,1,24,.600,11.7,.600,.600,.000,.000,.000,.400,1.000,1.000,,,,.000,.333,,.200,1,.500,.000,0,0,,jonesis01
672,Isaac Jones,25,SAC,PF,3,1,17,.500,14.0,.500,.500,.000,.000,.000,.500,1.000,1.000,,,,.000,.000,,.000,0,.000,,0,0,,jonesis01
673,Isaac Jones,25,DET,PF,2,0,7,.667,9.3,.667,.667,.000,.000,.000,.333,1.000,1.000,,,,.000,.500,,.333,1,1.000,.000,0,0,,jonesis01
674,Koby Brea,23,PHO,SG,5,0,23,.556,22.4,.222,.111,.000,.111,.000,.778,.500,1.000,,.000,,.571,.000,1.000,.000,0,.143,1.000,0,0,,breako01
675,Max Strus,29,CLE,SF,1,0,23,.778,19.9,.222,.222,.000,.000,.000,.778,.500,.500,,,,.857,.000,.833,.000,0,.286,1.000,0,0,,strusma01
676,Brandon Clarke,29,MEM,PF,2,2,20,.333,4.1,1.000,.556,.444,.000,.000,.000,.333,.400,.250,,,,.667,,.000,0,,,0,0,,clarkbr01
677,Taj Gibson,40,MEM,C,2,0,20,.286,12.0,.714,.143,.286,.286,.000,.286,.200,.000,.000,.500,,.500,1.000,1.000,.000,0,1.000,.500,0,0,,gibsota01
678,Riley Minix,25,2TM,SF,5,0,19,.667,12.6,.556,.444,.111,.000,.000,.444,1.000,1.000,1.000,,,.250,.200,1.000,.111,1,.250,1.000,0,0,,minixri01
679,Riley Minix,25,SAS,SF,3,0,8,.667,13.1,.500,.500,.000,.000,.000,.500,1.000,1.000,,,,.333,.333,1.000,.167,1,.333,1.000,0,0,,minixri01
680,Riley Minix,25,CLE,SF,2,0,11,.667,12.0,.667,.333,.333,.000,.000,.333,1.000,1.000,1.000,,,.000,.000,,.000,0,.000,,0,0,,minixri01
681,Harrison Ingram,23,SAS,SF,5,0,17,.800,7.5,.800,.600,.200,.000,.000,.200,.750,1.000,.000,,,1.000,.667,1.000,.000,0,.000,,0,0,,ingraha01
682,Jacob Toppin,25,ATL,SF,5,0,17,.667,4.8,1.000,.500,.167,.333,.000,.000,.667,1.000,.000,.500,,,.500,,.500,3,,,0,0,,toppija01
683,Chris Livingston,22,CLE,SF,3,0,17,.571,11.7,.571,.429,.143,.000,.000,.429,1.000,1.000,1.000,,,.000,.750,,.000,0,1.000,.000,0,0,,livinch01
684,Rocco Zikarsky,19,MIN,C,4,0,16,.600,6.1,1.000,.600,.200,.000,.200,.000,.600,.667,1.000,,.000,,1.000,,.200,1,,,0,0,,zikarro01
685,Buddy Boeheim,26,OKC,SF,4,0,15,.333,24.8,.000,.000,.000,.000,.000,1.000,,,,,,.333,,1.000,.000,0,.667,.500,0,0,,boehebu01
686,N'Faly Dante,24,ATL,C,4,0,15,.250,4.3,1.000,.500,.250,.250,.000,.000,.250,.500,.000,.000,,,1.000,,.250,1,,,0,0,,nfalyda01
687,Omer Yurtseven,27,GSW,C,2,0,15,.000,8.6,.667,.667,.000,.000,.000,.333,.000,.000,,,,.000,,,.000,0,1.000,.000,0,0,,yurtsom01
688,Norchad Omier,24,LAC,PF,3,0,14,.800,9.9,.800,.400,.200,.200,.000,.200,1.000,1.000,1.000,1.000,,.000,1.000,,.200,1,.000,,0,0,,omierno01
689,Chucky Hepburn,22,TOR,PG,2,0,13,.000,23.0,.167,.000,.000,.167,.000,.833,.000,,,.000,,.000,,,.000,0,.000,,0,0,,hepbuch01
690,Vladislav Goldin,24,MIA,C,4,0,12,.667,1.0,1.000,1.000,.000,.000,.000,.000,.667,.667,,,,,1.000,,.333,1,,,0,0,,goldivl01
691,David Roddy,24,DEN,PF,2,0,12,.000,25.3,.000,.000,.000,.000,.000,1.000,,,,,,.000,,,.000,0,.333,.000,0,0,,roddyda01
692,John Tonje,24,BOS,SG,3,0,11,.000,26.0,.000,.000,.000,.000,.000,1.000,,,,,,.000,,,.000,0,.000,,0,0,,tonjejo01
693,Tyler Smith,21,DAL,PF,2,0,11,.167,20.9,.167,.167,.000,.000,.000,.833,1.000,1.000,,,,.000,1.000,,.167,1,.400,.000,0,0,,smithty02
694,Tosan Evbuomwan,24,NYK,SF,5,0,8,.000,6.2,1.000,.000,1.000,.000,.000,.000,.000,,.000,,,,,,.000,0,,,0,0,,evbuoto01
695,Enrique Freeman,25,MIN,PF,2,0,8,,,,,,,,,,,,,,,,,,0,,,0,0,,freemen01
696,Stanley Umude,26,SAS,SG,2,0,7,.500,16.4,.500,.000,.500,.000,.000,.500,1.000,,1.000,,,.000,1.000,,.000,0,1.000,.000,0,0,,umudest01
697,Colby Jones,23,DET,SG,1,0,7,.333,16.9,.333,.000,.333,.000,.000,.667,1.000,,1.000,,,.000,.000,,.000,0,1.000,.000,0,0,,jonesco02
698,Max Shulga,23,BOS,SG,4,0,6,.000,23.5,1.000,.000,.000,.000,1.000,.000,.000,,,,.000,,,,.000,0,,,0,0,,shulgma01
699,Noa Essengue,19,CHI,PF,2,0,6,.000,16.9,.333,.333,.000,.000,.000,.667,.000,.000,,,,.000,,,.000,0,.500,.000,0,0,,essenno01
700,Trentyn Flowers,20,CHI,SF,2,0,6,.667,8.3,.667,.667,.000,.000,.000,.333,1.000,1.000,,,,.000,.500,,.333,1,1.000,.000,0,0,,flowetr01
701,Sean Pedulla,23,LAC,PG,1,0,6,.500,27.2,.000,.000,.000,.000,.000,1.000,,,,,,.500,,1.000,.000,0,.000,,0,0,,pedulse01
702,Trevor Keels,22,MIA,SG,4,0,5,.000,20.5,.250,.000,.250,.000,.000,.750,.000,,.000,,,.000,,,.000,0,.333,.000,0,0,,keelstr01
703,Hunter Dickinson,25,NOP,C,1,0,5,.500,12.8,1.000,.000,.000,1.000,.000,.000,.500,,,.500,,,1.000,,.000,0,,,0,0,,dickihu01
704,Darius Brown II,26,CLE,SG,1,0,3,.000,17.5,1.000,.000,.000,.000,1.000,.000,.000,,,,.000,,,,.000,0,,,0,0,,brownda04
705,Jayson Kent,23,POR,SF,1,0,3,1.000,1.8,1.000,1.000,.000,.000,.000,.000,1.000,1.000,,,,,1.000,,.000,0,,,0,0,,kentja01
,League Average,,,,,,,.469,14.0,.585,.228,.211,.095,.050,.415,.548,.702,.461,.446,.403,.358,.534,.856,.061,,.246,.385,,,,-9999
