Rk,Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards,Player-additional
193,Marvin Bagley III,26,WAS,PF,38,8,19.2,4.1,6.5,.626,0.2,0.5,.421,3.8,6.0,.643,.642,1.8,2.6,.711,2.6,3.1,5.7,1.5,0.5,0.7,1.2,2.1,10.1,,baglema01
193,Marvin Bagley III,26,DAL,PF,13,2,22.2,4.2,7.4,.563,0.4,0.9,.417,3.8,6.5,.583,.589,1.2,2.2,.552,2.7,5.2,7.8,1.2,0.3,0.8,0.8,2.2,9.9,,baglema01
194,Jakob Poeltl,30,TOR,C,32,30,25.8,4.4,6.3,.697,0.0,0.0,,4.4,6.3,.697,.697,1.3,2.1,.642,2.8,4.9,7.7,2.1,0.8,0.7,1.3,3.2,10.1,,poeltja01
195,Leaky Black,26,WAS,SF,5,2,31.8,3.6,7.8,.462,1.6,4.0,.400,2.0,3.8,.526,.564,1.2,1.2,1.000,1.4,4.0,5.4,1.4,0.4,0.8,0.8,3.0,10.0,,blackle01
196,Bub Carrington,20,WAS,PG,68,34,27.4,3.5,8.6,.413,1.9,4.9,.394,1.6,3.6,.440,.527,0.9,1.3,.736,0.5,3.1,3.6,4.5,0.6,0.2,2.2,2.2,10.0,,carrica01
197,Zaccharie Risacher,20,ATL,SF,54,45,23.8,3.8,8.7,.442,1.5,4.1,.357,2.4,4.5,.520,.528,0.8,1.4,.603,1.0,2.8,3.8,1.3,0.9,0.5,0.9,2.1,10.0,,risacza01
198,Isaiah Stewart,24,DET,C,55,13,23.1,3.8,7.0,.541,0.7,2.1,.333,3.1,4.9,.632,.592,1.7,2.3,.760,1.7,3.4,5.1,1.2,0.3,1.6,1.1,2.8,10.0,,stewais01
199,Ausar Thompson,23,DET,SF,59,58,25.6,4.2,8.1,.516,0.1,0.4,.273,4.1,7.7,.527,.522,1.6,2.8,.571,2.1,3.7,5.8,2.9,1.9,0.8,1.4,2.7,10.0,,thompau01
200,Royce O'Neale,32,PHO,SF,69,64,29.1,3.4,8.3,.416,2.8,6.8,.403,0.7,1.4,.480,.582,0.3,0.4,.700,0.7,4.1,4.8,2.8,1.1,0.4,1.4,2.3,9.9,,onealro01
201,Neemias Queta,26,BOS,C,64,63,25.1,4.2,6.5,.638,0.0,0.1,.000,4.2,6.4,.647,.638,1.6,2.3,.691,3.0,5.3,8.3,1.5,0.8,1.3,1.1,2.8,9.9,,quetane01
