Rk,Player,Age,Team,Pos,G,GS,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Awards,Player-additional
533,Koby Brea,23,PHO,SG,5,0,23,25.4,.810,.778,.222,0.0,10.0,4.8,20.7,0.0,0.0,0.0,18.3,0.1,0.0,0.2,.322,11.3,-0.5,10.8,0.1,,breako01
534,Max Strus,29,CLE,SF,1,0,23,39.0,1.115,.778,.444,14.3,23.9,19.1,7.3,0.0,0.0,8.5,21.5,0.2,0.0,0.2,.423,17.5,0.9,18.4,0.1,,strusma01
535,Brandon Clarke,29,MEM,PF,2,2,20,12.3,.372,.000,.444,21.5,10.9,16.2,7.0,4.7,0.0,0.0,22.3,0.0,0.0,0.0,.051,-4.7,-0.1,-4.8,0.0,,clarkbr01
536,Taj Gibson,40,MEM,C,2,0,20,7.4,.357,.286,.000,10.7,16.4,13.5,0.0,2.4,4.6,0.0,14.5,0.0,0.0,0.0,.010,-5.7,-3.3,-9.0,0.0,,gibsota01
537,Riley Minix,25,2TM,SF,5,0,19,27.2,.722,.444,.000,11.5,17.1,14.3,28.2,2.5,0.0,10.0,22.1,0.1,0.0,0.1,.244,6.8,2.9,9.7,0.1,,minixri01
537,Riley Minix,25,SAS,SF,3,0,8,44.9,.750,.500,.000,13.7,13.1,13.4,31.9,6.0,0.0,0.0,31.6,0.1,0.0,0.1,.428,18.0,7.3,25.3,0.1,,minixri01
537,Riley Minix,25,CLE,SF,2,0,11,14.3,.667,.333,.000,9.9,20.0,15.0,25.4,0.0,0.0,25.0,15.3,0.0,0.0,0.0,.110,-1.4,-0.3,-1.7,0.0,,minixri01
538,Harrison Ingram,23,SAS,SF,5,0,17,23.0,.900,.200,.000,19.4,0.0,9.5,9.0,0.0,0.0,0.0,12.4,0.1,0.0,0.1,.295,7.9,-0.6,7.2,0.0,,ingraha01
539,Jacob Toppin,25,ATL,SF,5,0,17,15.1,.667,.000,.000,0.0,6.4,3.2,8.9,0.0,5.3,0.0,14.7,0.0,0.0,0.0,.125,-0.2,0.5,0.3,0.0,,toppija01
540,Chris Livingston,22,CLE,SF,3,0,17,15.4,.605,.429,.143,0.0,19.4,9.7,8.9,2.8,0.0,0.0,18.4,0.0,0.0,0.1,.168,-4.7,2.0,-2.8,0.0,,livinch01
541,Rocco Zikarsky,19,MIN,C,4,0,16,21.2,.600,.000,.000,14.1,20.3,17.3,0.0,0.0,16.5,0.0,13.2,0.0,0.0,0.1,.195,1.7,0.5,2.2,0.0,,zikarro01
542,Buddy Boeheim,26,OKC,SF,4,0,15,4.7,.500,1.000,.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.3,0.0,0.0,0.0,.010,-3.8,-4.6,-8.4,0.0,,boehebu01
543,N'Faly Dante,24,ATL,C,4,0,15,12.4,.338,.000,.250,21.2,29.1,25.1,0.0,6.3,0.0,18.4,15.1,0.0,0.0,0.0,.048,-3.8,-0.9,-4.7,0.0,,nfalyda01
544,Omer Yurtseven,27,GSW,C,2,0,15,-1.4,.258,.333,.667,7.2,22.3,14.6,7.8,0.0,0.0,20.5,13.8,0.0,0.0,0.0,-0.100,-12.4,-4.1,-16.5,-0.1,,yurtsom01
545,Norchad Omier,24,LAC,PF,3,0,14,28.9,.800,.200,.000,17.1,16.2,16.6,13.1,3.6,0.0,0.0,15.8,0.1,0.0,0.1,.329,4.2,0.4,4.6,0.0,,omierno01
